Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.599922,0.526601,0.583175,0.614971,0.654750,
0.599922,0.526601,0.583175,0.614971,0.654750,
0.598680,0.525260,0.584339,0.614418,0.643745,
0.598680,0.525260,0.584339,0.614418,0.643745,
0.597474,0.512263,0.590294,0.615042,0.634075,
0.597474,0.512263,0.590294,0.615042,0.634075,
0.595751,0.524702,0.651888,0.615094,0.640086,
0.595751,0.524702,0.651888,0.615094,0.640086,
0.593813,0.505374,0.618519,0.615356,0.639421,
0.593813,0.505374,0.618519,0.615356,0.639421,
0.591351,0.477970,0.665009,0.615436,0.647972,
0.591351,0.477970,0.665009,0.615436,0.647972,
0.587245,0.494146,0.642674,0.615179,0.648176,
0.587245,0.494146,0.642674,0.615179,0.648176,
0.580866,0.504062,0.594256,0.615214,0.640966,
0.580866,0.504062,0.594256,0.615214,0.640966,
0.714044,0.652160,0.573368,0.618210,0.644445,
0.714044,0.652160,0.573368,0.618210,0.644445,
0.710751,0.651430,0.535886,0.617724,0.643587,
0.710751,0.651430,0.535886,0.617724,0.643587,
0.626988,0.481470,0.493614,0.612688,0.647786,
0.626988,0.481470,0.493614,0.612688,0.647786,
0.623054,0.478436,0.451413,0.611011,0.637788,
0.623054,0.478436,0.451413,0.611011,0.637788,
0.619633,0.479387,0.433083,0.610062,0.638317,
0.619633,0.479387,0.433083,0.610062,0.638317,
0.615548,0.491978,0.403570,0.610645,0.638594,
0.615548,0.491978,0.403570,0.610645,0.638594,
0.611533,0.483112,0.404079,0.611798,0.640489,
0.611533,0.483112,0.404079,0.611798,0.640489,
0.607277,0.486877,0.376597,0.612907,0.638696,
0.607277,0.486877,0.376597,0.612907,0.638696,
0.605396,0.481883,0.369767,0.612484,0.637046,
0.605396,0.481883,0.369767,0.612484,0.637046,
0.599535,0.470036,0.434786,0.612301,0.634406,
0.599535,0.470036,0.434786,0.612301,0.634406,
0.595053,0.469304,0.425722,0.611624,0.627213,
0.595053,0.469304,0.425722,0.611624,0.627213,
0.593842,0.462904,0.426786,0.612626,0.626849,
0.593842,0.462904,0.426786,0.612626,0.626849,
0.590738,0.455909,0.413553,0.613223,0.624493,
0.590738,0.455909,0.413553,0.613223,0.624493,
0.585013,0.461898,0.414228,0.616443,0.627270,
0.585013,0.461898,0.414228,0.616443,0.627270,
0.653659,0.520893,0.433085,0.621576,0.632433,
0.653659,0.520893,0.433085,0.621576,0.632433,
0.559040,0.463886,0.387303,0.618948,0.628818,
0.559040,0.463886,0.387303,0.618948,0.628818,
0.554337,0.442057,0.414768,0.616827,0.624855,
0.554337,0.442057,0.414768,0.616827,0.624855,
0.546315,0.381870,0.420227,0.615094,0.623279,
0.546315,0.381870,0.420227,0.615094,0.623279,
0.536442,0.408162,0.429584,0.612188,0.621024,
0.536442,0.408162,0.429584,0.612188,0.621024,
0.530928,0.404059,0.436547,0.608735,0.618766,
0.530928,0.404059,0.436547,0.608735,0.618766,
0.531254,0.409839,0.384744,0.607993,0.617795,
0.531254,0.409839,0.384744,0.607993,0.617795,
0.527853,0.415769,0.318272,0.604189,0.614444,
0.527853,0.415769,0.318272,0.604189,0.614444,
0.518654,0.417444,0.261597,0.601267,0.611178,
0.518654,0.417444,0.261597,0.601267,0.611178,
0.487893,0.409232,0.263924,0.599799,0.610151,
0.487893,0.409232,0.263924,0.599799,0.610151,
0.486200,0.421258,0.276995,0.597171,0.610240,
0.486200,0.421258,0.276995,0.597171,0.610240,
0.481408,0.425369,0.256386,0.600596,0.610538,
0.481408,0.425369,0.256386,0.600596,0.610538,
0.478812,0.412455,0.250393,0.575857,0.611109,
0.478812,0.412455,0.250393,0.575857,0.611109,
0.472550,0.414981,0.246794,0.576980,0.609798,
0.472550,0.414981,0.246794,0.576980,0.609798,
0.470856,0.416438,0.253332,0.576693,0.605384,
0.470856,0.416438,0.253332,0.576693,0.605384,
0.464786,0.427138,0.261187,0.576997,0.598020,
0.464786,0.427138,0.261187,0.576997,0.598020,
0.463583,0.428390,0.261660,0.575057,0.596713,
0.463583,0.428390,0.261660,0.575057,0.596713,
0.460123,0.425413,0.265621,0.575361,0.605747,
0.460123,0.425413,0.265621,0.575361,0.605747,
0.468305,0.407638,0.268780,0.576852,0.596793,
